eventID,postID,postCategories,postPriority
45,1128285482784366592,"['Location', 'Factoid']",High
45,1128285665186197504,"['Location', 'Factoid', 'Hashtags']",Low
45,1128285690779795459,"['Location', 'Factoid']",Low
45,1128285757624311808,"['Location', 'Factoid']",Low
45,1128285778306428934,"['Location', 'Factoid']",Low
45,1128286097434218497,"['Location', 'Factoid', 'Official']",Low
45,1128286330356686848,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128286351760265216,"['Location', 'Factoid', 'Hashtags']",Low
45,1128286390154932225,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128286441790771200,"['Location', 'Factoid']",Low
45,1128286535735042049,"['Location', 'Factoid', 'Sentiment']",Low
45,1128286558958882817,"['Location', 'MultimediaShare', 'Hashtags']",Low
45,1128286900639473664,"['Location', 'Factoid']",Low
45,1128286994172235778,"['Location', 'Factoid']",Low
45,1128287022165008384,"['Location', 'Factoid', 'Hashtags', 'Sentiment']",Low
45,1128287133926592512,"['Location', 'Factoid']",Low
45,1128287388847841281,"['Location', 'Factoid']",Low
45,1128287467071844355,"['Location', 'EmergingThreats', 'Factoid', 'Hashtags']",High
45,1128287894949568513,"['Location', 'Factoid', 'Hashtags', 'News']",Low
45,1128288019394461698,"['Location', 'Factoid', 'Hashtags']",Low
45,1128288164173320192,"['Location', 'Factoid']",Low
45,1128288306037288960,"['Location', 'Factoid']",Low
45,1128288347246530565,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128288360001179650,"['Location', 'Factoid']",Low
45,1128288377239945217,"['Location', 'Factoid']",Low
45,1128288379718766592,"['Location', 'Factoid']",Low
45,1128288609654775808,"['Location', 'Factoid', 'News']",Low
45,1128288611152089088,"['MovePeople', 'Location', 'MultimediaShare', 'Hashtags', 'Advice']",High
45,1128288666638606337,"['Location', 'Factoid']",Low
45,1128288683466133505,"['Location', 'Factoid']",Low
45,1128288705771397120,"['Location', 'MultimediaShare', 'Hashtags']",Low
45,1128288857638748160,"['Location', 'MultimediaShare', 'News']",Low
45,1128288950630567937,"['Location', 'Advice']",High
45,1128289127542034432,"['Location', 'Factoid', 'Sentiment']",Low
45,1128289141290979329,"['Location', 'Factoid']",Low
45,1128289201307435008,"['Location', 'Factoid']",Low
45,1128289245330792448,"['Location', 'Factoid']",Low
45,1128289345549393921,"['Location', 'Factoid']",Low
45,1128289504673042432,"['Location', 'Factoid']",Low
45,1128289674278199296,"['Location', 'MultimediaShare', 'Hashtags']",Low
45,1128289779777441792,"['Location', 'Factoid', 'Official']",Low
45,1128289842712936448,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128289851424403457,"['Location', 'Hashtags', 'News']",Low
45,1128289902469058560,"['Location', 'Factoid']",Low
45,1128290008031477761,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128290052386070529,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128290086372683778,"['Location', 'Factoid', 'News']",Low
45,1128290211526475776,"['Location', 'Factoid']",Low
45,1128290324932104193,"['Location', 'Factoid']",Low
45,1128290365985964033,"['Location', 'Factoid', 'News']",Low
45,1128290396566622216,"['Location', 'News']",Low
45,1128290424362340353,"['Location', 'Factoid', 'News']",Low
45,1128290461951647744,"['Location', 'Factoid']",Low
45,1128290524396494848,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128290555379814400,"['Location', 'EmergingThreats', 'MultimediaShare', 'News']",High
45,1128290566331031552,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128290569099198465,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags', 'News']",Low
45,1128290570680455170,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags', 'News']",Low
45,1128290628574400518,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128290651055902720,['Irrelevant'],Low
45,1128290729216892930,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128290838566645760,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128290955101134848,"['Location', 'EmergingThreats', 'Factoid', 'Official']",High
45,1128290957596725249,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128290969005195264,"['Location', 'Factoid', 'Hashtags']",Low
45,1128291057773367297,['Irrelevant'],Low
45,1128291169492844545,"['Location', 'Factoid']",Low
45,1128291221527453697,"['Location', 'EmergingThreats']",Low
45,1128291380235780101,"['Location', 'Factoid']",Low
45,1128291442991013889,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128291546049150976,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128291643701059584,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128291690442260480,"['Location', 'Factoid', 'Hashtags']",Low
45,1128291862610042880,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128292014137720834,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128292079719686146,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128292310649671680,"['Location', 'EmergingThreats', 'Factoid', 'Hashtags']",Low
45,1128292347727368192,"['Location', 'Factoid']",Low
45,1128292387128635393,"['Location', 'Factoid']",Low
45,1128292425150226432,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128292544083898368,"['Location', 'MultimediaShare', 'Factoid']",Low
45,1128292546239705090,"['Location', 'Factoid']",Low
45,1128292577516691456,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128292916261261312,"['Location', 'Factoid', 'Hashtags']",Low
45,1128293040055996416,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128293120502665216,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128293187318165504,"['Location', 'Factoid']",Low
45,1128293247258853376,"['Location', 'EmergingThreats', 'Factoid']",Low
45,1128293300429975552,"['Location', 'Factoid', 'Hashtags', 'News']",Low
45,1128293303659716608,"['Location', 'MultimediaShare', 'Factoid', 'News']",Low
45,1128293404255768577,"['Location', 'EmergingThreats', 'MultimediaShare', 'Factoid', 'Hashtags']",Low
45,1128293404276736000,"['Location', 'MultimediaShare', 'Factoid', 'Hashtags', 'News']",Low
