tweet_id,positive_sentiment,negative_sentiment,numb_of_questions,tweet_length,userFollowersCount,userFriendsCount,user_list_count,dict_precision,dict_recall,dict_f_measure
1.155484852411687e+18,2.0,66.0,15.0,99.0,18.0,42.0,0.0,11.0,11.0,11.0
1.1554867310236055e+18,1.0,39.0,52.0,257.0,7709.0,2814.0,392.0,0.0,0.0,0.0
1.1554884300187443e+18,2.0,63.0,17.0,98.0,537.0,1486.0,20.0,0.0,0.0,0.0
1.1554935309927055e+18,4.0,57.0,63.0,257.0,295.0,2145.0,2.0,10.0,11.0,10.0
1.1554954899466977e+18,15.0,42.0,40.0,217.0,1682.0,104.0,51.0,0.0,0.0,0.0
1.155499306763346e+18,3.0,28.0,9.0,37.0,1003.0,428.0,23.0,50.0,11.0,18.0
1.155500613414871e+18,2.0,63.0,18.0,99.0,5160.0,27.0,40.0,0.0,0.0,0.0
1.1555073214784965e+18,31.0,22.0,15.0,87.0,49.0,328.0,0.0,0.0,0.0,0.0
1.1555089636659405e+18,2.0,54.0,44.0,182.0,135.0,143.0,0.0,0.0,0.0,0.0
1.1555090091028849e+18,14.0,35.0,58.0,254.0,18.0,177.0,1.0,0.0,0.0,0.0
1.1555132717488742e+18,9.0,52.0,19.0,73.0,3842.0,723.0,141.0,0.0,0.0,0.0
1.15551864334771e+18,3.0,54.0,54.0,269.0,10.0,0.0,0.0,0.0,0.0,0.0
1.1555188913738135e+18,2.0,64.0,29.0,148.0,10873.0,1082.0,394.0,0.0,0.0,0.0
1.155520810536194e+18,4.0,54.0,55.0,263.0,10.0,0.0,0.0,0.0,0.0,0.0
1.155523961934844e+18,5.0,53.0,13.0,65.0,3.0,20.0,0.0,12.0,11.0,11.0
1.1555346691710894e+18,0.0,62.0,11.0,48.0,3740.0,3181.0,110.0,0.0,0.0,0.0
1.155536823566733e+18,16.0,40.0,61.0,262.0,10.0,0.0,0.0,0.0,0.0,0.0
1.1555390911922583e+18,4.0,44.0,11.0,58.0,400.0,681.0,1.0,0.0,0.0,0.0
1.1555418159128005e+18,2.0,63.0,17.0,98.0,177.0,1106.0,5.0,0.0,0.0,0.0
1.1555496240333005e+18,6.0,45.0,45.0,226.0,307.0,140.0,1.0,0.0,0.0,0.0
1.1555500018939123e+18,42.0,19.0,31.0,175.0,75.0,125.0,4.0,0.0,0.0,0.0
1.1555528053162025e+18,3.0,64.0,35.0,184.0,2894.0,4337.0,116.0,20.0,22.0,21.0
1.1555530025702072e+18,3.0,64.0,35.0,184.0,2894.0,4337.0,116.0,20.0,22.0,21.0
1.1555562392140308e+18,4.0,60.0,44.0,209.0,1229.0,284.0,42.0,10.0,11.0,10.0
1.1555578021459968e+18,1.0,53.0,51.0,214.0,328.0,813.0,6.0,10.0,11.0,10.0
1.155558090936324e+18,12.0,37.0,16.0,72.0,192.0,339.0,0.0,0.0,0.0,0.0
1.155566193299927e+18,11.0,8.0,3.0,18.0,36.0,55.0,0.0,0.0,0.0,0.0
1.155568825179484e+18,3.0,52.0,14.0,74.0,3335.0,931.0,146.0,0.0,0.0,0.0
1.1555778512461865e+18,0.0,52.0,45.0,198.0,2.0,52.0,0.0,0.0,0.0,0.0
1.155583227547005e+18,4.0,44.0,11.0,58.0,29.0,105.0,15.0,0.0,0.0,0.0
1.1555874851388498e+18,3.0,58.0,20.0,101.0,908.0,1573.0,88.0,0.0,0.0,0.0
1.1555891644124283e+18,5.0,68.0,20.0,87.0,954.0,1430.0,18.0,0.0,0.0,0.0
1.1555897104520724e+18,1.0,48.0,48.0,246.0,109.0,219.0,0.0,0.0,0.0,0.0
1.155601150361686e+18,8.0,54.0,15.0,75.0,159.0,398.0,0.0,0.0,0.0,0.0
1.155601947107287e+18,12.0,9.0,8.0,42.0,1861.0,2085.0,3.0,0.0,0.0,0.0
1.155602897674969e+18,4.0,44.0,11.0,58.0,2.0,6.0,0.0,0.0,0.0,0.0
1.155606040500736e+18,2.0,63.0,17.0,98.0,1630.0,4505.0,40.0,0.0,0.0,0.0
1.155615331840344e+18,63.0,0.0,6.0,20.0,3226.0,4364.0,114.0,0.0,0.0,0.0
1.1556175986351718e+18,2.0,54.0,25.0,133.0,200.0,154.0,1.0,0.0,0.0,0.0
1.155618638512046e+18,0.0,30.0,53.0,236.0,6892.0,6891.0,61.0,10.0,11.0,10.0
1.1556335021650452e+18,10.0,48.0,34.0,162.0,124.0,283.0,2.0,0.0,0.0,0.0
1.155639415601062e+18,19.0,18.0,4.0,18.0,62.0,588.0,0.0,0.0,0.0,0.0
1.15564183299652e+18,2.0,63.0,17.0,98.0,346.0,490.0,20.0,0.0,0.0,0.0
1.155645076632154e+18,1.0,63.0,37.0,159.0,2392.0,2414.0,0.0,10.0,11.0,10.0
1.1556503674572431e+18,3.0,66.0,95.0,197.0,166.0,543.0,25.0,0.0,0.0,0.0
1.1556791369432307e+18,2.0,63.0,19.0,100.0,14500.0,1370.0,0.0,0.0,0.0,0.0
1.1556796808439237e+18,21.0,23.0,53.0,250.0,3457.0,3476.0,0.0,10.0,11.0,10.0
1.15569104000068e+18,1.0,65.0,31.0,171.0,390.0,404.0,23.0,0.0,0.0,0.0
1.1556947542873784e+18,5.0,60.0,14.0,76.0,756.0,919.0,158.0,0.0,0.0,0.0
1.155696194158506e+18,8.0,64.0,54.0,245.0,374.0,321.0,0.0,10.0,11.0,10.0
1.1557036994293105e+18,61.0,7.0,24.0,122.0,2430.0,2100.0,22.0,0.0,0.0,0.0
1.155712458113372e+18,4.0,58.0,15.0,74.0,70.0,703.0,1.0,0.0,0.0,0.0
1.1557136528438968e+18,5.0,53.0,19.0,74.0,199.0,274.0,9.0,0.0,0.0,0.0
1.155736562497413e+18,2.0,58.0,53.0,279.0,1411.0,4565.0,0.0,0.0,0.0,0.0
1.1557379419788616e+18,4.0,61.0,22.0,130.0,2363.0,1576.0,129.0,0.0,0.0,0.0
1.1557426414574428e+18,9.0,39.0,65.0,282.0,7502.0,1898.0,254.0,0.0,0.0,0.0
1.155745461845627e+18,19.0,22.0,11.0,57.0,287.0,775.0,3.0,0.0,0.0,0.0
1.1557457469494313e+18,8.0,56.0,9.0,57.0,11489.0,13334.0,443.0,0.0,0.0,0.0
1.1557465176528364e+18,6.0,56.0,15.0,88.0,1300.0,3651.0,34.0,10.0,11.0,10.0
1.1557502544629555e+18,1.0,63.0,55.0,251.0,184.0,508.0,11.0,0.0,0.0,0.0
1.1557551170999337e+18,0.0,38.0,38.0,179.0,35.0,130.0,0.0,10.0,11.0,10.0
1.1557574509911982e+18,2.0,63.0,50.0,261.0,27.0,105.0,0.0,0.0,0.0,0.0
1.1557587907483853e+18,1.0,68.0,36.0,199.0,2270.0,1261.0,88.0,0.0,0.0,0.0
1.155759449296048e+18,12.0,53.0,18.0,92.0,10873.0,1082.0,394.0,0.0,0.0,0.0
1.1557606321023017e+18,3.0,54.0,26.0,129.0,10.0,39.0,7.0,0.0,0.0,0.0
1.155768080590676e+18,5.0,67.0,15.0,72.0,2133.0,1064.0,43.0,12.0,11.0,11.0
1.155770266355667e+18,2.0,51.0,51.0,281.0,11.0,26.0,0.0,0.0,0.0,0.0
1.1557738163768934e+18,11.0,37.0,27.0,119.0,10873.0,1082.0,394.0,0.0,0.0,0.0
1.1557758577488443e+18,8.0,49.0,11.0,50.0,3610.0,4300.0,83.0,16.0,11.0,13.0
1.1557769610185646e+18,1.0,78.0,10.0,46.0,182.0,316.0,5.0,0.0,0.0,0.0
1.1557786127354798e+18,1.0,51.0,44.0,248.0,614.0,566.0,2.0,0.0,0.0,0.0
1.1557830844547154e+18,3.0,61.0,47.0,205.0,511.0,345.0,0.0,10.0,11.0,10.0
1.155785604149461e+18,15.0,15.0,14.0,59.0,1346.0,785.0,62.0,0.0,0.0,0.0
1.1557904574709678e+18,7.0,50.0,43.0,230.0,3726.0,1013.0,799.0,0.0,0.0,0.0
1.155791769466024e+18,6.0,51.0,11.0,61.0,53803.0,3545.0,1059.0,0.0,0.0,0.0
1.155794976393126e+18,17.0,42.0,35.0,196.0,10.0,73.0,0.0,10.0,11.0,10.0
1.1557988200406423e+18,2.0,64.0,33.0,150.0,391.0,1485.0,3.0,10.0,11.0,10.0
1.1558089867483791e+18,1.0,61.0,41.0,182.0,2322.0,2432.0,120.0,10.0,11.0,10.0
