TREC-IS 2020-A Task 1 Notebook Evaluator v2.4
Run: marksrun2 (marks2.run)

--------------------------------------------------
EVALUATON: Information Type Categorization (Multi-type)
Per Event Performance
--------------------------------------------------
athensEarthquake2020
  Information Type Precision (positive class, multi-type, macro): 0.0
  Information Type Recall (positive class, multi-type, macro): 0.0
  Information Type F1 (positive class, multi-type, macro): 0.0
  Information Type Accuracy (overall, multi-type, macro): 0.9479069767441862
  High Importance Information Type Precision (positive class, multi-type, macro): 0.0
  High Importance Information Type Recall (positive class, multi-type, macro): 0.0
  High Importance Information Type F1 (positive class, multi-type, macro): 0.0
  High Importance Information Type Accuracy (overall, multi-type, macro): 0.9957716701902749
  Low Importance Information Type Precision (positive class, multi-type, macro): 0.0
  Low Importance Information Type Recall (positive class, multi-type, macro): 0.0
  Low Importance Information Type F1 (positive class, multi-type, macro): 0.0
  Low Importance Information Type Accuracy (overall, multi-type, macro): 0.9327918103927896

baltimoreFlashFlood2020
  Information Type Precision (positive class, multi-type, macro): 0.039805825242718446
  Information Type Recall (positive class, multi-type, macro): 0.01752136752136752
  Information Type F1 (positive class, multi-type, macro): 0.024332344213649854
  Information Type Accuracy (overall, multi-type, macro): 0.9762899786780384
  High Importance Information Type Precision (positive class, multi-type, macro): 0.0
  High Importance Information Type Recall (positive class, multi-type, macro): 0.0
  High Importance Information Type F1 (positive class, multi-type, macro): 0.0
  High Importance Information Type Accuracy (overall, multi-type, macro): 0.9992892679459843
  Low Importance Information Type Precision (positive class, multi-type, macro): 0.052376085845682166
  Low Importance Information Type Recall (positive class, multi-type, macro): 0.02305443094916779
  Low Importance Information Type F1 (positive class, multi-type, macro): 0.032016242386381386
  Low Importance Information Type Accuracy (overall, multi-type, macro): 0.9690270452250028

brooklynBlockPartyShooting2020
  Information Type Precision (positive class, multi-type, macro): 0.0
  Information Type Recall (positive class, multi-type, macro): 0.0
  Information Type F1 (positive class, multi-type, macro): 0.0
  Information Type Accuracy (overall, multi-type, macro): 0.8486847599164926
  High Importance Information Type Precision (positive class, multi-type, macro): 0.0
  High Importance Information Type Recall (positive class, multi-type, macro): 0.0
  High Importance Information Type F1 (positive class, multi-type, macro): 0.0
  High Importance Information Type Accuracy (overall, multi-type, macro): 0.9933890048712596
  Low Importance Information Type Precision (positive class, multi-type, macro): 0.0
  Low Importance Information Type Recall (positive class, multi-type, macro): 0.0
  Low Importance Information Type F1 (positive class, multi-type, macro): 0.0
  Low Importance Information Type Accuracy (overall, multi-type, macro): 0.8029886825623557

daytonOhioShooting2020
  Information Type Precision (positive class, multi-type, macro): 0.08
  Information Type Recall (positive class, multi-type, macro): 0.0006455391423179541
  Information Type F1 (positive class, multi-type, macro): 0.001280737704918033
  Information Type Accuracy (overall, multi-type, macro): 0.9537684210526316
  High Importance Information Type Precision (positive class, multi-type, macro): 0.0
  High Importance Information Type Recall (positive class, multi-type, macro): 0.0
  High Importance Information Type F1 (positive class, multi-type, macro): 0.0
  High Importance Information Type Accuracy (overall, multi-type, macro): 0.9985964912280701
  Low Importance Information Type Precision (positive class, multi-type, macro): 0.10526315789473684
  Low Importance Information Type Recall (positive class, multi-type, macro): 0.0008493936083130974
  Low Importance Information Type F1 (positive class, multi-type, macro): 0.0016851811906816224
  Low Importance Information Type Accuracy (overall, multi-type, macro): 0.9396121883656513

elPasoWalmartShooting2020
  Information Type Precision (positive class, multi-type, macro): 0.09797199772986677
  Information Type Recall (positive class, multi-type, macro): 0.0632685924031593
  Information Type F1 (positive class, multi-type, macro): 0.06465449430657054
  Information Type Accuracy (overall, multi-type, macro): 0.9323830734966595
  High Importance Information Type Precision (positive class, multi-type, macro): 0.0
  High Importance Information Type Recall (positive class, multi-type, macro): 0.0
  High Importance Information Type F1 (positive class, multi-type, macro): 0.0
  High Importance Information Type Accuracy (overall, multi-type, macro): 0.9940608760207869
  Low Importance Information Type Precision (positive class, multi-type, macro): 0.12891052332877206
  Low Importance Information Type Recall (positive class, multi-type, macro): 0.08324814789889382
  Low Importance Information Type F1 (positive class, multi-type, macro): 0.08507170303496123
  Low Importance Information Type Accuracy (overall, multi-type, macro): 0.9129058726995661

gilroygarlicShooting2020
  Information Type Precision (positive class, multi-type, macro): 0.0
  Information Type Recall (positive class, multi-type, macro): 0.0
  Information Type F1 (positive class, multi-type, macro): 0.0
  Information Type Accuracy (overall, multi-type, macro): 0.92468085106383
  High Importance Information Type Precision (positive class, multi-type, macro): 0.0
  High Importance Information Type Recall (positive class, multi-type, macro): 0.0
  High Importance Information Type F1 (positive class, multi-type, macro): 0.0
  High Importance Information Type Accuracy (overall, multi-type, macro): 0.999645390070922
  Low Importance Information Type Precision (positive class, multi-type, macro): 0.0
  Low Importance Information Type Recall (positive class, multi-type, macro): 0.0
  Low Importance Information Type F1 (positive class, multi-type, macro): 0.0
  Low Importance Information Type Accuracy (overall, multi-type, macro): 0.9010078387458008

hurricaneBarry2020
  Information Type Precision (positive class, multi-type, macro): 0.09722424594375813
  Information Type Recall (positive class, multi-type, macro): 0.06507759303246238
  Information Type F1 (positive class, multi-type, macro): 0.06302125087879186
  Information Type Accuracy (overall, multi-type, macro): 0.9350959488272922
  High Importance Information Type Precision (positive class, multi-type, macro): 0.21835075493612077
  High Importance Information Type Recall (positive class, multi-type, macro): 0.17777777777777778
  High Importance Information Type F1 (positive class, multi-type, macro): 0.17375886524822692
  High Importance Information Type Accuracy (overall, multi-type, macro): 0.9786780383795309
  Low Importance Information Type Precision (positive class, multi-type, macro): 0.05897376941985415
