tweet_id,positive_sentiment,negative_sentiment,numb_of_questions,tweet_length,userFollowersCount,userFriendsCount,user_list_count,dict_precision,dict_recall,dict_f_measure
1155679136943230720,2,63,19,100,14500,1370,0,0,0,0
1155712458113371904,4,58,15,74,70,703,1,0,0,0
1155790457470967808,7,50,43,230,3726,1013,799,0,0,0
1155810415596703744,2,63,18,99,67928,39311,1330,0,0,0
1155847346028257280,6,53,46,237,1832,3371,19,0,0,0
1155878415079288832,9,42,14,58,1300,29,1,20,11,14
1155901643004829696,4,60,41,216,1088,2481,4,10,11,10
1155903304171266048,2,63,17,98,55,101,0,0,0,0
1155941846779977728,9,42,14,58,3172,4016,15,20,11,14
1155973588433829888,9,42,14,58,2,3,2,20,11,14
1156012207466958848,1,67,38,180,938,701,5,10,11,10
1156040550467813120,2,63,17,98,202,123,4,0,0,0
1156141537996226304,8,40,9,52,3554,1074,268,0,0,0
1156142483866304256,9,42,14,58,1870,2923,6,20,11,14
1156227041626337280,2,63,17,98,19,31,0,0,0,0
1156247752847659008,10,6,8,65,322,271,1,14,11,12
1156262195031945216,10,6,8,65,114671,482,3716,14,11,12
1156264852970545152,10,6,8,65,212,16,25,14,11,12
1156272333977526272,6,57,13,46,352,1935,0,0,0,0
1156278028231573504,7,42,46,244,244,560,1,0,0,0
1156287351984987904,2,54,34,162,8295,15,538,20,22,21
1156299068466855936,10,6,8,65,941,1028,24,14,11,12
1156327305708544000,4,60,17,85,376117,2779,4393,11,11,11
1156401211886702592,4,60,19,87,29016,14290,572,11,11,11
1156401244300304384,4,60,22,90,2643,4206,199,11,11,11
1156404325939326720,12,37,12,48,1145,3,38,0,0,0
1156460339950694400,6,54,12,61,1084,899,313,0,0,0
1156500883326296064,6,54,10,59,4432,4899,29,0,0,0
1156534128654917632,3,60,49,213,857,1407,134,0,0,0
1156538780431671296,8,57,28,117,625,708,17,10,11,10
1156547563618820096,4,60,17,85,1630,4505,40,11,11,11
1156566920847605504,4,44,11,58,16104,15902,263,0,0,0
1156574141933326336,6,54,10,59,151,169,8,0,0,0
1156575721927655424,3,43,24,126,211,128,22,20,22,21
1156592989889802240,4,46,22,116,1679,1454,174,0,0,0
1156603582881435648,10,6,8,65,50,215,1,14,11,12
1156621797925838848,5,50,34,197,110994,2468,3328,20,22,21
1156625833261510656,3,60,60,234,2122,246,42,10,11,10
1156649088722583552,11,25,5,28,1556,385,105,0,0,0
1156652835444056064,5,50,34,197,1636,1642,15,20,22,21
1156683458380304384,23,33,13,69,3019,2065,26,0,0,0
1156683755974791168,2,63,17,98,5927,240,190,0,0,0
1156707551821611008,4,44,11,58,375,1666,4,0,0,0
1156710883353137152,15,22,11,63,62,225,0,12,11,11
1156732887187767296,4,60,17,85,705,944,20,11,11,11
1156745142163988480,8,37,17,78,278,1863,14,0,0,0
1156753025677103104,6,54,10,59,13,102,0,0,0,0
1156753357983375104,5,68,45,256,27901,4464,800,10,11,10
1156753720010575872,2,68,38,222,11741,2152,530,10,11,10
1156754837968707584,3,67,36,213,8117,1871,330,10,11,10
1156755257747234816,2,60,44,247,270717,4132,4041,10,11,10
1156755281403154432,6,54,37,216,20738,2733,794,10,11,10
