TREC-IS 2020-A Task 1 Notebook Evaluator v2.4
Run: marksrun2 (calamity.run)

--------------------------------------------------
EVALUATON: Information Type Categorization (Multi-type)
Per Event Performance
--------------------------------------------------
athensEarthquake2020
  Information Type Precision (positive class, multi-type, macro): 0.0
  Information Type Recall (positive class, multi-type, macro): 0.0
  Information Type F1 (positive class, multi-type, macro): 0.0
  Information Type Accuracy (overall, multi-type, macro): 0.9479069767441862
  High Importance Information Type Precision (positive class, multi-type, macro): 0.0
  High Importance Information Type Recall (positive class, multi-type, macro): 0.0
  High Importance Information Type F1 (positive class, multi-type, macro): 0.0
  High Importance Information Type Accuracy (overall, multi-type, macro): 0.9957716701902749
  Low Importance Information Type Precision (positive class, multi-type, macro): 0.0
  Low Importance Information Type Recall (positive class, multi-type, macro): 0.0
  Low Importance Information Type F1 (positive class, multi-type, macro): 0.0
  Low Importance Information Type Accuracy (overall, multi-type, macro): 0.9327918103927896

baltimoreFlashFlood2020
  Information Type Precision (positive class, multi-type, macro): 0.0398406374501992
  Information Type Recall (positive class, multi-type, macro): 0.021367521367521368
  Information Type F1 (positive class, multi-type, macro): 0.027816411682892908
  Information Type Accuracy (overall, multi-type, macro): 0.9809808102345415
  High Importance Information Type Precision (positive class, multi-type, macro): 0.0
  High Importance Information Type Recall (positive class, multi-type, macro): 0.0
  High Importance Information Type F1 (positive class, multi-type, macro): 0.0
  High Importance Information Type Accuracy (overall, multi-type, macro): 0.9996446339729922
  Low Importance Information Type Precision (positive class, multi-type, macro): 0.05242189138184106
  Low Importance Information Type Recall (positive class, multi-type, macro): 0.02811515969410706
  Low Importance Information Type F1 (positive class, multi-type, macro): 0.036600541688016984
  Low Importance Information Type Accuracy (overall, multi-type, macro): 0.9750869711592415

brooklynBlockPartyShooting2020
  Information Type Precision (positive class, multi-type, macro): 0.5937562134558358
  Information Type Recall (positive class, multi-type, macro): 0.3216785717819691
  Information Type F1 (positive class, multi-type, macro): 0.3955879369600601
  Information Type Accuracy (overall, multi-type, macro): 0.9115657620041755
  High Importance Information Type Precision (positive class, multi-type, macro): 0.4166666666666667
  High Importance Information Type Recall (positive class, multi-type, macro): 0.21296296296296294
  High Importance Information Type F1 (positive class, multi-type, macro): 0.2803418803418803
  High Importance Information Type Accuracy (overall, multi-type, macro): 0.9958246346555324
  Low Importance Information Type Precision (positive class, multi-type, macro): 0.649679228231363
  Low Importance Information Type Recall (positive class, multi-type, macro): 0.3560098166721816
  Low Importance Information Type F1 (positive class, multi-type, macro): 0.43198142852369587
  Low Importance Information Type Accuracy (overall, multi-type, macro): 0.8849576969563784

daytonOhioShooting2020
  Information Type Precision (positive class, multi-type, macro): 0.0738691590868557
  Information Type Recall (positive class, multi-type, macro): 0.05628366908681869
  Information Type F1 (positive class, multi-type, macro): 0.04913752219485652
  Information Type Accuracy (overall, multi-type, macro): 0.9442526315789478
  High Importance Information Type Precision (positive class, multi-type, macro): 0.0
  High Importance Information Type Recall (positive class, multi-type, macro): 0.0
  High Importance Information Type F1 (positive class, multi-type, macro): 0.0
  High Importance Information Type Accuracy (overall, multi-type, macro): 0.9971929824561404
  Low Importance Information Type Precision (positive class, multi-type, macro): 0.0971962619563891
  Low Importance Information Type Recall (positive class, multi-type, macro): 0.07405745932476143
  Low Importance Information Type F1 (positive class, multi-type, macro): 0.06465463446691648
  Low Importance Information Type Accuracy (overall, multi-type, macro): 0.9275346260387813

elPasoWalmartShooting2020
  Information Type Precision (positive class, multi-type, macro): 0.1346922125615969
  Information Type Recall (positive class, multi-type, macro): 0.12267103590818648
  Information Type F1 (positive class, multi-type, macro): 0.10843205604372669
  Information Type Accuracy (overall, multi-type, macro): 0.9291314031180401
  High Importance Information Type Precision (positive class, multi-type, macro): 0.0
  High Importance Information Type Recall (positive class, multi-type, macro): 0.0
  High Importance Information Type F1 (positive class, multi-type, macro): 0.0
  High Importance Information Type Accuracy (overall, multi-type, macro): 0.9951744617668893
  Low Importance Information Type Precision (positive class, multi-type, macro): 0.17722659547578543
  Low Importance Information Type Recall (positive class, multi-type, macro): 0.1614092577739296
  Low Importance Information Type F1 (positive class, multi-type, macro): 0.14267375795227197
  Low Importance Information Type Accuracy (overall, multi-type, macro): 0.9082757003868246

gilroygarlicShooting2020
  Information Type Precision (positive class, multi-type, macro): 0.18283479558874915
  Information Type Recall (positive class, multi-type, macro): 0.10781843329836946
  Information Type F1 (positive class, multi-type, macro): 0.13165209753706855
  Information Type Accuracy (overall, multi-type, macro): 0.936936170212766
  High Importance Information Type Precision (positive class, multi-type, macro): 0.0
  High Importance Information Type Recall (positive class, multi-type, macro): 0.0
  High Importance Information Type F1 (positive class, multi-type, macro): 0.0
  High Importance Information Type Accuracy (overall, multi-type, macro): 0.998936170212766
  Low Importance Information Type Precision (positive class, multi-type, macro): 0.24057209945888047
  Low Importance Information Type Recall (positive class, multi-type, macro): 0.1418663596031177
  Low Importance Information Type F1 (positive class, multi-type, macro): 0.17322644412772178
  Low Importance Information Type Accuracy (overall, multi-type, macro): 0.917357222844345

hurricaneBarry2020
  Information Type Precision (positive class, multi-type, macro): 0.08551059403385612
  Information Type Recall (positive class, multi-type, macro): 0.11311083055550009
  Information Type F1 (positive class, multi-type, macro): 0.07477935426382418
  Information Type Accuracy (overall, multi-type, macro): 0.9232409381663111
  High Importance Information Type Precision (positive class, multi-type, macro): 0.142904953145917
  High Importance Information Type Recall (positive class, multi-type, macro): 0.20555555555555557
  High Importance Information Type F1 (positive class, multi-type, macro): 0.1514300306435138
