tweet_id,positive_sentiment,negative_sentiment,numb_of_questions,tweet_length,userFollowersCount,userFriendsCount,user_list_count,dict_precision,dict_recall,dict_f_measure
1.1554848524116867e+18,20,660,150,990,180,420,00,11109999656677246,11109999656677246,11109999656677246
1.1554867310236055e+18,10,390,520,2570,77090,28140,3920,00,00,00
1.1554884300187443e+18,20,630,170,980,5370,14860,200,00,00,00
1.1554935309927055e+18,40,570,630,2570,2950,21450,20,100,11109999656677246,10529999732971191
1.1554954899466977e+18,150,420,400,2170,16820,1040,510,00,00,00
1.155499306763346e+18,30,280,90,370,10030,4280,230,500,11109999656677246,1818000030517578
1.155500613414871e+18,20,630,180,990,51600,270,400,00,00,00
1.1555073214784963e+18,310,220,150,870,490,3280,00,00,00,00
1.1555089636659405e+18,20,540,440,1820,1350,1430,00,00,00,00
1.1555090091028849e+18,140,350,580,2540,180,1770,10,00,00,00
1.1555132717488742e+18,90,520,190,730,38420,7230,1410,00,00,00
1.15551864334771e+18,30,540,540,2690,100,00,00,00,00,00
1.1555188913738135e+18,20,640,290,1480,108730,10820,3940,00,00,00
1.155520810536194e+18,40,540,550,2630,100,00,00,00,00,00
1.155523961934844e+18,50,530,130,650,30,200,00,125,11109999656677246,11760000228881836
1.1555346691710894e+18,00,620,110,480,37400,31810,1100,00,00,00
1.155536823566733e+18,160,400,610,2620,100,00,00,00,00,00
1.1555390911922583e+18,40,440,110,580,4000,6810,10,00,00,00
1.1555418159128003e+18,20,630,170,980,1770,11060,50,00,00,00
1.1555496240333005e+18,60,450,450,2260,3070,1400,10,00,00,00
1.1555500018939123e+18,420,190,310,1750,750,1250,40,00,00,00
1.1555528053162025e+18,30,640,350,1840,28940,43370,1160,200,22219999313354492,21049999237060547
1.1555530025702072e+18,30,640,350,1840,28940,43370,1160,200,22219999313354492,21049999237060547
1.1555562392140308e+18,40,600,440,2090,12290,2840,420,100,11109999656677246,10529999732971191
1.1555578021459968e+18,10,530,510,2140,3280,8130,60,100,11109999656677246,10529999732971191
1.155558090936324e+18,120,370,160,720,1920,3390,00,00,00,00
1.155566193299927e+18,110,80,30,180,360,550,00,00,00,00
1.155568825179484e+18,30,520,140,740,33350,9310,1460,00,00,00
1.1555778512461865e+18,00,520,450,1980,20,520,00,00,00,00
1.155583227547005e+18,40,440,110,580,290,1050,150,00,00,00
1.1555874851388498e+18,30,580,200,1010,9080,15730,880,00,00,00
1.1555891644124283e+18,50,680,200,870,9540,14300,180,00,00,00
1.1555897104520724e+18,10,480,480,2460,1090,2190,00,00,00,00
1.155601150361686e+18,80,540,150,750,1590,3980,00,00,00,00
1.155601947107287e+18,120,90,80,420,18610,20850,30,00,00,00
1.155602897674969e+18,40,440,110,580,20,60,00,00,00,00
1.155606040500736e+18,20,630,170,980,16300,45050,400,00,00,00
1.155615331840344e+18,630,00,60,200,32260,43640,1140,00,00,00
1.1556175986351718e+18,20,540,250,1330,2000,1540,10,00,00,00
1.155618638512046e+18,00,300,530,2360,68920,68910,610,100,11109999656677246,10529999732971191
1.1556335021650452e+18,100,480,340,1620,1240,2830,20,00,00,00
1.155639415601062e+18,190,180,40,180,620,5880,00,00,00,00
1.15564183299652e+18,20,630,170,980,3460,4900,200,00,00,00
1.1556450766321539e+18,10,630,370,1590,23920,24140,00,100,11109999656677246,10529999732971191
1.1556503674572431e+18,30,660,950,1970,1660,5430,250,00,00,00
1.1556791369432307e+18,20,630,190,1000,145000,13700,00,00,00,00
1.1556796808439235e+18,210,230,530,2500,34570,34760,00,100,11109999656677246,10529999732971191
1.15569104000068e+18,10,650,310,1710,3900,4040,230,00,00,00
1.1556947542873784e+18,50,600,140,760,7560,9190,1580,00,00,00
1.155696194158506e+18,80,640,540,2450,3740,3210,00,100,11109999656677246,10529999732971191
1.1557036994293105e+18,610,70,240,1220,24300,21000,220,00,00,00
1.155712458113372e+18,40,580,150,740,700,7030,10,00,00,00
