tweet_id,priority,postCategories_x
211565974422425600,0.75,19
211654415503990784,0.5,15
211681309368655872,0.25,15
211685621125742592,0.25,16
211877049147736064,0.25,7
211884082991333376,0.75,8
211893016892424192,0.5,7
211904811250089984,0.5,14
211910322582335488,0.75,19
211964198396231680,0.5,12
212000114246553600,0.5,13
212032414564880384,0.5,13
212099863171710976,0.25,15
212137133736075264,0.25,15
212158197543337984,0.25,7
212169203422199808,0.25,18
212176367289253888,0.25,18
212197095518633984,0.25,4
212201952547840000,0.25,11
212202460046049280,0.5,7
212214560617275392,0.25,11
212227898512388096,0.25,18
212231669170716672,0.25,18
212242750534451200,0.5,22
212298199229149184,0.25,15
212306336183091200,0.25,15
212311994286620672,0.0,13
212315735609966592,0.5,7
212319443383103488,0.25,11
212337210442264576,0.75,20
212373109477617664,0.25,7
212384295719931904,0.5,7
212414263984275456,0.25,15
212429443170435072,0.25,21
212452734148939776,0.5,7
212462741770862592,0.25,15
212525333348491264,0.25,15
212552860590813184,0.5,13
212559890248499200,0.5,7
212587354542706688,0.25,15
212590940664238080,0.25,18
212595864772952064,0.25,11
212604953846480896,0.25,11
212617058616225792,0.5,13
212617469645438976,0.25,15
212659349779267584,0.25,11
212678790353137664,0.75,6
212679595655299072,0.5,19
212692916794163200,0.25,4
212824504689360896,0.25,15
212841818780467200,0.25,15
212847581733208064,0.25,15
212887096262791168,0.25,15
213003463032963072,0.25,15
213007598637678592,0.25,15
213015790109196288,0.5,13
213070509003374592,0.5,7
213125177540739072,0.25,11
213138934887223296,0.25,13
213275195224494080,0.5,5
213303712284811264,0.75,16
213307550081359872,0.25,11
213336062980915200,0.5,16
213356292113305600,0.5,23
213391209673134080,0.25,7
213413158474358784,0.25,18
213416409043181568,0.25,15
213469647377408000,0.25,7
213470175830351872,0.25,15
213553466344341504,0.25,7
213597628162777088,0.25,15
213627768435519488,0.5,7
213671603081457664,0.25,15
213689735082807296,0.5,1
213748442739118080,0.5,5
213751626211667968,0.5,7
213824988795518976,0.5,13
213967951626383360,0.25,7
214012344139911168,0.75,6
214044891943145472,0.25,11
214182184104370176,0.25,15
214194607657992192,0.5,7
214201167515885568,0.25,15
214226740220928000,0.25,15
214349314556821504,0.25,15
214350006621192192,0.25,11
214385830171648000,0.25,7
214425449537867776,0.75,14
214426300994162688,0.75,14
214479962911154176,0.25,11
214490071183802368,0.5,13
214570425664024576,0.5,13
214794103693643776,0.75,23
214826689233027072,0.25,15
214850416427548672,0.25,15
214886101553397760,0.5,7
214949230027096064,0.75,8
215023850889547776,0.25,7
215062358802968576,0.5,13
215119355187445760,0.25,15
215138435093110784,0.5,5
215174099247435776,0.25,11
215249416393719808,0.5,5
215317343130238976,0.25,15
215352826958843904,0.25,7
215465313989427200,0.5,7
215578157523275776,0.25,15
215763893904089088,0.5,2
215821620097462272,0.25,11
215855174546231296,0.75,23
215869691003011072,0.75,5
216305818927251456,0.75,12
216336307352371200,0.5,13
216349737488621568,0.5,13
216366107873914880,0.5,13
216550187492057088,0.5,5
216608731599872000,0.25,11
216650766893596672,0.25,11
216664859759214592,0.5,9
216685898392276992,0.75,19
216743465193713664,0.25,11
216749215613857792,0.25,21
216759722336980992,0.5,13
216774209446215680,0.75,12
216868350607884288,0.25,15
216900122443923456,0.25,15
216951989232349184,0.75,23
216961334129078272,0.25,4
216979315110318080,0.25,4
216983274558464000,0.75,14
216984293770141696,0.75,14
217008167752699904,0.5,13
217039595639029760,0.25,18
217048223334932480,0.25,15
217088622871060480,0.25,11
217103105794375680,0.25,11
217276200555528192,0.5,13
217352981446787072,0.25,7
217393586537377792,0.75,1
217420929200959488,0.5,20
217429728829784064,0.5,13
217479968219873280,0.5,13
217481515918049280,0.25,5
217569856327909376,0.25,7
217634977108602880,0.25,11
217679969407602688,0.25,18
217691780571856896,0.75,14
217707215602192384,0.25,11
217724286427860992,0.5,13
217732012314861568,0.5,8
217733576786055168,0.5,13
217742238061563904,0.25,15
217746356842926080,0.5,13
243203924050448384,0.25,17
243361642447007744,0.5,15
243361697002299392,0.25,17
243361759912681472,0.25,17
243362053518131200,0.25,16
243362288403369984,0.25,17
243362649100931072,0.25,17
243362783322861568,0.25,16
243362997215571968,0.25,16
243363055944232960,0.25,17
243363244704677888,0.25,17
243363487944937472,0.25,17
243363672506896384,0.25,16
243363680916488192,0.25,17
243363781554606080,0.75,16
