tweet_id,priority,category,postCategories_x,eventID,eventType
211565974422425600,0.75,ServiceAvailable,19,fireColorado2012,Unknown
211654415503990784,0.5,News,15,fireColorado2012,Unknown
211681309368655872,0.25,News,15,fireColorado2012,Unknown
211685621125742592,0.25,Official,16,fireColorado2012,Unknown
211877049147736064,0.25,Factoid,7,fireColorado2012,Unknown
211884082991333376,0.75,FirstPartyObservation,8,fireColorado2012,Unknown
211893016892424192,0.5,Factoid,7,fireColorado2012,Unknown
211904811250089984,0.5,NewSubEvent,14,fireColorado2012,Unknown
211910322582335488,0.75,ServiceAvailable,19,fireColorado2012,Unknown
211964198396231680,0.5,MovePeople,12,fireColorado2012,Unknown
212000114246553600,0.5,MultimediaShare,13,fireColorado2012,Unknown
212032414564880384,0.5,MultimediaShare,13,fireColorado2012,Unknown
212099863171710976,0.25,News,15,fireColorado2012,Unknown
212137133736075264,0.25,News,15,fireColorado2012,Unknown
212158197543337984,0.25,Factoid,7,fireColorado2012,Unknown
212169203422199808,0.25,Sentiment,18,fireColorado2012,Unknown
212176367289253888,0.25,Sentiment,18,fireColorado2012,Unknown
212197095518633984,0.25,Discussion,4,fireColorado2012,Unknown
212201952547840000,0.25,Irrelevant,11,fireColorado2012,Unknown
212202460046049280,0.5,Factoid,7,fireColorado2012,Unknown
212214560617275392,0.25,Irrelevant,11,fireColorado2012,Unknown
212227898512388096,0.25,Sentiment,18,fireColorado2012,Unknown
212231669170716672,0.25,Sentiment,18,fireColorado2012,Unknown
212242750534451200,0.5,Volunteer,22,fireColorado2012,Unknown
212298199229149184,0.25,News,15,fireColorado2012,Unknown
212306336183091200,0.25,News,15,fireColorado2012,Unknown
212311994286620672,0.0,MultimediaShare,13,fireColorado2012,Unknown
212315735609966592,0.5,Factoid,7,fireColorado2012,Unknown
212319443383103488,0.25,Irrelevant,11,fireColorado2012,Unknown
212337210442264576,0.75,ThirdPartyObservation,20,fireColorado2012,Unknown
212373109477617664,0.25,Factoid,7,fireColorado2012,Unknown
212384295719931904,0.5,Factoid,7,fireColorado2012,Unknown
212414263984275456,0.25,News,15,fireColorado2012,Unknown
212429443170435072,0.25,Unknown,21,fireColorado2012,Unknown
212452734148939776,0.5,Factoid,7,fireColorado2012,Unknown
212462741770862592,0.25,News,15,fireColorado2012,Unknown
212525333348491264,0.25,News,15,fireColorado2012,Unknown
212552860590813184,0.5,MultimediaShare,13,fireColorado2012,Unknown
212559890248499200,0.5,Factoid,7,fireColorado2012,Unknown
212587354542706688,0.25,News,15,fireColorado2012,Unknown
212590940664238080,0.25,Sentiment,18,fireColorado2012,Unknown
212595864772952064,0.25,Irrelevant,11,fireColorado2012,Unknown
212604953846480896,0.25,Irrelevant,11,fireColorado2012,Unknown
212617058616225792,0.5,MultimediaShare,13,fireColorado2012,Unknown
212617469645438976,0.25,News,15,fireColorado2012,Unknown
212659349779267584,0.25,Irrelevant,11,fireColorado2012,Unknown
212678790353137664,0.75,EmergingThreats,6,fireColorado2012,Unknown
212679595655299072,0.5,ServiceAvailable,19,fireColorado2012,Unknown
212692916794163200,0.25,Discussion,4,fireColorado2012,Unknown
212824504689360896,0.25,News,15,fireColorado2012,Unknown
212841818780467200,0.25,News,15,fireColorado2012,Unknown
212847581733208064,0.25,News,15,fireColorado2012,Unknown
212887096262791168,0.25,News,15,fireColorado2012,Unknown
213003463032963072,0.25,News,15,fireColorado2012,Unknown
213007598637678592,0.25,News,15,fireColorado2012,Unknown
213015790109196288,0.5,MultimediaShare,13,fireColorado2012,Unknown
213070509003374592,0.5,Factoid,7,fireColorado2012,Unknown
213125177540739072,0.25,Irrelevant,11,fireColorado2012,Unknown
213138934887223296,0.25,MultimediaShare,13,fireColorado2012,Unknown
213275195224494080,0.5,Donations,5,fireColorado2012,Unknown
213303712284811264,0.75,Official,16,fireColorado2012,Unknown
213307550081359872,0.25,Irrelevant,11,fireColorado2012,Unknown
213336062980915200,0.5,Official,16,fireColorado2012,Unknown
213356292113305600,0.5,Weather,23,fireColorado2012,Unknown
213391209673134080,0.25,Factoid,7,fireColorado2012,Unknown
213413158474358784,0.25,Sentiment,18,fireColorado2012,Unknown
213416409043181568,0.25,News,15,fireColorado2012,Unknown
213469647377408000,0.25,Factoid,7,fireColorado2012,Unknown
213470175830351872,0.25,News,15,fireColorado2012,Unknown
213553466344341504,0.25,Factoid,7,fireColorado2012,Unknown
213597628162777088,0.25,News,15,fireColorado2012,Unknown
213627768435519488,0.5,Factoid,7,fireColorado2012,Unknown
213671603081457664,0.25,News,15,fireColorado2012,Unknown
213689735082807296,0.5,Advice,1,fireColorado2012,Unknown
213748442739118080,0.5,Donations,5,fireColorado2012,Unknown
213751626211667968,0.5,Factoid,7,fireColorado2012,Unknown
213824988795518976,0.5,MultimediaShare,13,fireColorado2012,Unknown
213967951626383360,0.25,Factoid,7,fireColorado2012,Unknown
214012344139911168,0.75,EmergingThreats,6,fireColorado2012,Unknown
214044891943145472,0.25,Irrelevant,11,fireColorado2012,Unknown
214182184104370176,0.25,News,15,fireColorado2012,Unknown
214194607657992192,0.5,Factoid,7,fireColorado2012,Unknown
214201167515885568,0.25,News,15,fireColorado2012,Unknown
214226740220928000,0.25,News,15,fireColorado2012,Unknown
214349314556821504,0.25,News,15,fireColorado2012,Unknown
214350006621192192,0.25,Irrelevant,11,fireColorado2012,Unknown
214385830171648000,0.25,Factoid,7,fireColorado2012,Unknown
214425449537867776,0.75,NewSubEvent,14,fireColorado2012,Unknown
214426300994162688,0.75,NewSubEvent,14,fireColorado2012,Unknown
214479962911154176,0.25,Irrelevant,11,fireColorado2012,Unknown
214490071183802368,0.5,MultimediaShare,13,fireColorado2012,Unknown
214570425664024576,0.5,MultimediaShare,13,fireColorado2012,Unknown
214794103693643776,0.75,Weather,23,fireColorado2012,Unknown
214826689233027072,0.25,News,15,fireColorado2012,Unknown
214850416427548672,0.25,News,15,fireColorado2012,Unknown
214886101553397760,0.5,Factoid,7,fireColorado2012,Unknown
214949230027096064,0.75,FirstPartyObservation,8,fireColorado2012,Unknown
215023850889547776,0.25,Factoid,7,fireColorado2012,Unknown
215062358802968576,0.5,MultimediaShare,13,fireColorado2012,Unknown
215119355187445760,0.25,News,15,fireColorado2012,Unknown
215138435093110784,0.5,Donations,5,fireColorado2012,Unknown
215174099247435776,0.25,Irrelevant,11,fireColorado2012,Unknown
215249416393719808,0.5,Donations,5,fireColorado2012,Unknown
215317343130238976,0.25,News,15,fireColorado2012,Unknown
215352826958843904,0.25,Factoid,7,fireColorado2012,Unknown
215465313989427200,0.5,Factoid,7,fireColorado2012,Unknown
215578157523275776,0.25,News,15,fireColorado2012,Unknown
215763893904089088,0.5,CleanUp,2,fireColorado2012,Unknown
215821620097462272,0.25,Irrelevant,11,fireColorado2012,Unknown
215855174546231296,0.75,Weather,23,fireColorado2012,Unknown
215869691003011072,0.75,Donations,5,fireColorado2012,Unknown
216305818927251456,0.75,MovePeople,12,fireColorado2012,Unknown
216336307352371200,0.5,MultimediaShare,13,fireColorado2012,Unknown
216349737488621568,0.5,MultimediaShare,13,fireColorado2012,Unknown
216366107873914880,0.5,MultimediaShare,13,fireColorado2012,Unknown
216550187492057088,0.5,Donations,5,fireColorado2012,Unknown
216608731599872000,0.25,Irrelevant,11,fireColorado2012,Unknown
216650766893596672,0.25,Irrelevant,11,fireColorado2012,Unknown
216664859759214592,0.5,Hashtags,9,fireColorado2012,Unknown
216685898392276992,0.75,ServiceAvailable,19,fireColorado2012,Unknown
216743465193713664,0.25,Irrelevant,11,fireColorado2012,Unknown
216749215613857792,0.25,Unknown,21,fireColorado2012,Unknown
216759722336980992,0.5,MultimediaShare,13,fireColorado2012,Unknown
216774209446215680,0.75,MovePeople,12,fireColorado2012,Unknown
216868350607884288,0.25,News,15,fireColorado2012,Unknown
216900122443923456,0.25,News,15,fireColorado2012,Unknown
216951989232349184,0.75,Weather,23,fireColorado2012,Unknown
216961334129078272,0.25,Discussion,4,fireColorado2012,Unknown
216979315110318080,0.25,Discussion,4,fireColorado2012,Unknown
216983274558464000,0.75,NewSubEvent,14,fireColorado2012,Unknown
216984293770141696,0.75,NewSubEvent,14,fireColorado2012,Unknown
217008167752699904,0.5,MultimediaShare,13,fireColorado2012,Unknown
217039595639029760,0.25,Sentiment,18,fireColorado2012,Unknown
217048223334932480,0.25,News,15,fireColorado2012,Unknown
217088622871060480,0.25,Irrelevant,11,fireColorado2012,Unknown
217103105794375680,0.25,Irrelevant,11,fireColorado2012,Unknown
217276200555528192,0.5,MultimediaShare,13,fireColorado2012,Unknown
217352981446787072,0.25,Factoid,7,fireColorado2012,Unknown
217393586537377792,0.75,Advice,1,fireColorado2012,Unknown
217420929200959488,0.5,ThirdPartyObservation,20,fireColorado2012,Unknown
217429728829784064,0.5,MultimediaShare,13,fireColorado2012,Unknown
217479968219873280,0.5,MultimediaShare,13,fireColorado2012,Unknown
217481515918049280,0.25,Donations,5,fireColorado2012,Unknown
217569856327909376,0.25,Factoid,7,fireColorado2012,Unknown
217634977108602880,0.25,Irrelevant,11,fireColorado2012,Unknown
217679969407602688,0.25,Sentiment,18,fireColorado2012,Unknown
217691780571856896,0.75,NewSubEvent,14,fireColorado2012,Unknown
217707215602192384,0.25,Irrelevant,11,fireColorado2012,Unknown
217724286427860992,0.5,MultimediaShare,13,fireColorado2012,Unknown
217732012314861568,0.5,FirstPartyObservation,8,fireColorado2012,Unknown
217733576786055168,0.5,MultimediaShare,13,fireColorado2012,Unknown
217742238061563904,0.25,News,15,fireColorado2012,Unknown
217746356842926080,0.5,MultimediaShare,13,fireColorado2012,Unknown
243203924050448384,0.25,OriginalEvent,17,costaRicaEarthquake2012,Unknown
243361642447007744,0.5,News,15,costaRicaEarthquake2012,Unknown
243361697002299392,0.25,OriginalEvent,17,costaRicaEarthquake2012,Unknown
243361759912681472,0.25,OriginalEvent,17,costaRicaEarthquake2012,Unknown
243362053518131200,0.25,Official,16,costaRicaEarthquake2012,Unknown
243362288403369984,0.25,OriginalEvent,17,costaRicaEarthquake2012,Unknown
243362649100931072,0.25,OriginalEvent,17,costaRicaEarthquake2012,Unknown
243362783322861568,0.25,Official,16,costaRicaEarthquake2012,Unknown
243362997215571968,0.25,Official,16,costaRicaEarthquake2012,Unknown
243363055944232960,0.25,OriginalEvent,17,costaRicaEarthquake2012,Unknown
