tweet_id,timestamp,positive_sentiment,negative_sentiment,numb_of_questions,tweet_length,userFollowersCount,userFriendsCount,user_list_count,dict_precision,dict_recall,dict_f_measure
"1.15548485241168691E18,",2019-07-28 14:27:11,"2.0,","66.0,","15.0,","99.0,","18.0,","42.0,","0.0,","11.109999656677246,","11.109999656677246,",11.109999656677246]
"1.15548673102360576E18,",2019-07-28 14:34:39,"1.0,","39.0,","52.0,","257.0,","7709.0,","2814.0,","392.0,","0.0,","0.0,",0.0]
"1.15548843001874432E18,",2019-07-28 14:41:24,"2.0,","63.0,","17.0,","98.0,","537.0,","1486.0,","20.0,","0.0,","0.0,",0.0]
"1.15549353099270554E18,",2019-07-28 15:01:40,"4.0,","57.0,","63.0,","257.0,","295.0,","2145.0,","2.0,","10.0,","11.109999656677246,",10.529999732971191]
"1.15549548994669773E18,",2019-07-28 15:09:27,"15.0,","42.0,","40.0,","217.0,","1682.0,","104.0,","51.0,","0.0,","0.0,",0.0]
"1.15549930676334592E18,",2019-07-28 15:24:37,"3.0,","28.0,","9.0,","37.0,","1003.0,","428.0,","23.0,","50.0,","11.109999656677246,",18.18000030517578]
"1.15550061341487104E18,",2019-07-28 15:29:49,"2.0,","63.0,","18.0,","99.0,","5160.0,","27.0,","40.0,","0.0,","0.0,",0.0]
"1.15550732147849626E18,",2019-07-28 15:56:28,"31.0,","22.0,","15.0,","87.0,","49.0,","328.0,","0.0,","0.0,","0.0,",0.0]
"1.15550896366594048E18,",2019-07-28 16:02:59,"2.0,","54.0,","44.0,","182.0,","135.0,","143.0,","0.0,","0.0,","0.0,",0.0]
"1.15550900910288486E18,",2019-07-28 16:03:10,"14.0,","35.0,","58.0,","254.0,","18.0,","177.0,","1.0,","0.0,","0.0,",0.0]
"1.15551327174887424E18,",2019-07-28 16:20:07,"9.0,","52.0,","19.0,","73.0,","3842.0,","723.0,","141.0,","0.0,","0.0,",0.0]
"1.15551864334770995E18,",2019-07-28 16:41:27,"3.0,","54.0,","54.0,","269.0,","10.0,","0.0,","0.0,","0.0,","0.0,",0.0]
"1.15551889137381376E18,",2019-07-28 16:42:26,"2.0,","64.0,","29.0,","148.0,","10873.0,","1082.0,","394.0,","0.0,","0.0,",0.0]
"1.15552081053619405E18,",2019-07-28 16:50:04,"4.0,","54.0,","55.0,","263.0,","10.0,","0.0,","0.0,","0.0,","0.0,",0.0]
"1.1555239619348439E18,",2019-07-28 17:02:35,"5.0,","53.0,","13.0,","65.0,","3.0,","20.0,","0.0,","12.5,","11.109999656677246,",11.760000228881836]
"1.15553466917108941E18,",2019-07-28 17:45:08,"0.0,","62.0,","11.0,","48.0,","3740.0,","3181.0,","110.0,","0.0,","0.0,",0.0]
"1.15553682356673331E18,",2019-07-28 17:53:42,"16.0,","40.0,","61.0,","262.0,","10.0,","0.0,","0.0,","0.0,","0.0,",0.0]
"1.15553909119225856E18,",2019-07-28 18:02:42,"4.0,","44.0,","11.0,","58.0,","400.0,","681.0,","1.0,","0.0,","0.0,",0.0]
"1.15554181591280026E18,",2019-07-28 18:13:32,"2.0,","63.0,","17.0,","98.0,","177.0,","1106.0,","5.0,","0.0,","0.0,",0.0]
"1.15554962403330048E18,",2019-07-28 18:44:34,"6.0,","45.0,","45.0,","226.0,","307.0,","140.0,","1.0,","0.0,","0.0,",0.0]
"1.15555000189391258E18,",2019-07-28 18:46:04,"42.0,","19.0,","31.0,","175.0,","75.0,","125.0,","4.0,","0.0,","0.0,",0.0]
"1.1555528053162025E18,",2019-07-28 18:57:12,"3.0,","64.0,","35.0,","184.0,","2894.0,","4337.0,","116.0,","20.0,","22.219999313354492,",21.049999237060547]
"1.15555300257020723E18,",2019-07-28 18:57:59,"3.0,","64.0,","35.0,","184.0,","2894.0,","4337.0,","116.0,","20.0,","22.219999313354492,",21.049999237060547]
"1.15555623921403085E18,",2019-07-28 19:10:51,"4.0,","60.0,","44.0,","209.0,","1229.0,","284.0,","42.0,","10.0,","11.109999656677246,",10.529999732971191]
"1.1555578021459968E18,",2019-07-28 19:17:03,"1.0,","53.0,","51.0,","214.0,","328.0,","813.0,","6.0,","10.0,","11.109999656677246,",10.529999732971191]
