tweet_id,positive_sentiment,negative_sentiment,numb_of_questions,tweet_length,userFollowersCount,userFriendsCount,user_list_count,dict_precision,dict_recall,dict_f_measure
1.1556791369432307e+18,20,630,190,1000,145000,13700,00,00,00,00
1.155712458113372e+18,40,580,150,740,700,7030,10,00,00,00
1.1557904574709678e+18,70,500,430,2300,37260,10130,7990,00,00,00
1.1558104155967037e+18,20,630,180,990,679280,393110,13300,00,00,00
1.1558473460282573e+18,60,530,460,2370,18320,33710,190,00,00,00
1.1558784150792888e+18,90,420,140,580,13000,290,10,200,11109999656677246,14289999961853027
1.1559016430048297e+18,40,600,410,2160,10880,24810,40,100,11109999656677246,10529999732971191
1.155903304171266e+18,20,630,170,980,550,1010,00,00,00,00
1.1559418467799777e+18,90,420,140,580,31720,40160,150,200,11109999656677246,14289999961853027
1.15597358843383e+18,90,420,140,580,20,30,20,200,11109999656677246,14289999961853027
1.1560122074669588e+18,10,670,380,1800,9380,7010,50,100,11109999656677246,10529999732971191
1.156040550467813e+18,20,630,170,980,2020,1230,40,00,00,00
1.1561415379962263e+18,80,400,90,520,35540,10740,2680,00,00,00
1.1561424838663043e+18,90,420,140,580,18700,29230,60,200,11109999656677246,14289999961853027
1.1562270416263373e+18,20,630,170,980,190,310,00,00,00,00
1.156247752847659e+18,100,60,80,650,3220,2710,10,14289999961853027,11109999656677246,125
1.1562621950319452e+18,100,60,80,650,1146710,4820,37160,14289999961853027,11109999656677246,125
1.1562648529705452e+18,100,60,80,650,2120,160,250,14289999961853027,11109999656677246,125
1.1562723339775263e+18,60,570,130,460,3520,19350,00,00,00,00
1.1562780282315735e+18,70,420,460,2440,2440,5600,10,00,00,00
1.156287351984988e+18,20,540,340,1620,82950,150,5380,200,22219999313354492,21049999237060547
1.156299068466856e+18,100,60,80,650,9410,10280,240,14289999961853027,11109999656677246,125
1.156327305708544e+18,40,600,170,850,3761170,27790,43930,11109999656677246,11109999656677246,11109999656677246
1.1564012118867026e+18,40,600,190,870,290160,142900,5720,11109999656677246,11109999656677246,11109999656677246
1.1564012443003044e+18,40,600,220,900,26430,42060,1990,11109999656677246,11109999656677246,11109999656677246
1.1564043259393267e+18,120,370,120,480,11450,30,380,00,00,00
1.1564603399506944e+18,60,540,120,610,10840,8990,3130,00,00,00
1.156500883326296e+18,60,540,100,590,44320,48990,290,00,00,00
1.1565341286549176e+18,30,600,490,2130,8570,14070,1340,00,00,00
1.1565387804316713e+18,80,570,280,1170,6250,7080,170,100,11109999656677246,10529999732971191
1.15654756361882e+18,40,600,170,850,16300,45050,400,11109999656677246,11109999656677246,11109999656677246
1.1565669208476055e+18,40,440,110,580,161040,159020,2630,00,00,00
1.1565741419333263e+18,60,540,100,590,1510,1690,80,00,00,00
1.1565757219276554e+18,30,430,240,1260,2110,1280,220,200,22219999313354492,21049999237060547
1.1565929898898022e+18,40,460,220,1160,16790,14540,1740,00,00,00
1.1566035828814356e+18,100,60,80,650,500,2150,10,14289999961853027,11109999656677246,125
1.1566217979258388e+18,50,500,340,1970,1109940,24680,33280,200,22219999313354492,21049999237060547
1.1566258332615107e+18,30,600,600,2340,21220,2460,420,100,11109999656677246,10529999732971191
1.1566490887225836e+18,110,250,50,280,15560,3850,1050,00,00,00
1.156652835444056e+18,50,500,340,1970,16360,16420,150,200,22219999313354492,21049999237060547
1.1566834583803044e+18,230,330,130,690,30190,20650,260,00,00,00
1.1566837559747912e+18,20,630,170,980,59270,2400,1900,00,00,00
1.156707551821611e+18,40,440,110,580,3750,16660,40,00,00,00
1.1567108833531372e+18,150,220,110,630,620,2250,00,125,11109999656677246,11760000228881836
1.1567328871877673e+18,40,600,170,850,7050,9440,200,11109999656677246,11109999656677246,11109999656677246
1.1567451421639885e+18,80,370,170,780,2780,18630,140,00,00,00
1.156753025677103e+18,60,540,100,590,130,1020,00,00,00,00
1.156753357983375e+18,50,680,450,2560,279010,44640,8000,100,11109999656677246,10529999732971191
1.156753720010576e+18,20,680,380,2220,117410,21520,5300,100,11109999656677246,10529999732971191
1.1567548379687076e+18,30,670,360,2130,81170,18710,3300,100,11109999656677246,10529999732971191
1.1567552577472348e+18,20,600,440,2470,2707170,41320,40410,100,11109999656677246,10529999732971191
1.1567552814031544e+18,60,540,370,2160,207380,27330,7940,100,11109999656677246,10529999732971191
1.1567695299571794e+18,80,440,120,650,10400,14910,340,14289999961853027,11109999656677246,125
1.1567742225191035e+18,170,220,200,930,18660,16740,1700,11109999656677246,11109999656677246,11109999656677246
1.156776772891009e+18,40,560,330,1600,28451030,18720,59640,00,00,00
1.156777035395666e+18,70,520,430,2030,3720,320,440,00,00,00
1.1567821783462707e+18,150,140,120,570,527520,441340,1000,16670000076293945,11109999656677246,13329999923706055
1.156783641722327e+18,170,200,90,500,25830,26000,220,00,00,00
1.156787282881458e+18,30,610,270,1330,730,790,70,200,22219999313354492,21049999237060547
1.1567922798703903e+18,90,610,160,860,430,1110,00,00,00,00
1.1567941448130232e+18,40,440,110,580,13870,43270,110,00,00,00
1.156814072538706e+18,30,680,330,1160,18920,10310,490,00,00,00
